編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
9-115,洋洋洋,rhiongˋ rhiongˋ rhiongˋ,"水盛大、水流不止的樣子。
例如：落過雨，屋面前个圳溝水洋洋洋。",下過雨，屋前的水溝水勢盛大。,,形容詞,,9抽象概念與形容
9-116,幼皮嫩骨,rhiu^ piˋ nun gudˊ,"細皮嫩肉。
例如：嬰仔幼皮嫩骨，拁佢洗膴身愛細義，輕手輕腳即好。",小嬰兒細皮嫩肉的，幫他洗澡得小心，動作輕輕地就好。,,形容詞,,9抽象概念與形容
9-117,幼秀,rhiu^ siu^,"形容外表清秀脫俗；動作慢、做工精細。
例如：這妹子生做幼秀，講事又真軟聲。
例如：食物件恁幼秀，毋知做粗事敢有法度？","這女孩長得清秀脫俗，說話又很柔和。
吃東西這麼細嚼慢嚥，不知道做粗重的工作行不行？",,形容詞,,9抽象概念與形容
9-118,油光油光,rhiuˋ gongˇ rhiuˋ gongˇ,"青菜煮好後呈現的油亮貌。
例如：你个蕹菜炒到油光油光，真餳人食。",你的空心菜炒得油亮油亮的，很吸引人吃。,,動詞,,9抽象概念與形容
9-119,有頭有尾,rhiuˇ teuˋ rhiuˇ muiˇ,"有始有終。相反詞為「有頭無尾」。
例如：頭家頭佮意做事有頭有尾个薪勞。",老闆最中意做事有頭有尾的夥計。,,形容詞,,9抽象概念與形容
9-120,有修,rhiuˇ siuˇ,"德行方面修養得很圓滿。
例如：這間廟个住持係有修个人。",這間廟的住持是德行修養圓滿的人。,,形容詞,,9抽象概念與形容
9-121,油漬漬,rhiuˋ zidˊ zidˊ,"油膩膩的。
例如：烰个物件做下攏油漬漬，毋好食忒多。",油炸的東西全部都油膩膩的，別吃太多。,,形容詞,,9抽象概念與形容
9-122,潤潤,bbin bbin,"溼潤的樣子。
例如：落恁久个雨，這衫摸起來潤潤。",下這麼久的雨，這衣服摸起來溼溼的。,,虛詞,,9抽象概念與形容
9-123,潤去,bbin kui^,"物品因受潮而溼潤的樣子。
例如：餅若無食了愛䌈起來，毋好囥得佢潤去。",餅乾如果沒吃完要綁起來，別讓它受潮軟掉。,,形容詞,,9抽象概念與形容
9-124,靚靚个,ziangˇ ziangˇ eˇ,"還算漂亮。
例如：佢生來靚靚个，算真耐䀴。",她長得還算漂亮，算是很耐看。,,形容詞,,9抽象概念與形容
9-125,靚膩膩,ziangˇ neˋ neˋ,"形容妝扮美麗的樣子。
例如：阿姊妝到靚膩膩，驚討去約會。",姊姊打扮得美美的，可能要去約會。,,形容詞,,9抽象概念與形容
9-126,精靈,zinˇ lenˋ,"形容人頭腦清楚、聰明靈敏的樣子。
例如：厥女生來真精靈，讀書真慶。　",他女兒長得很聰明靈敏，很會讀書。　,,形容詞,,9抽象概念與形容
9-127,精頭精面,zinˇ teuˋ zinˇ mien^,"謂面貌長相很聰明；「戇頭戇面」為反義詞，謂表面看起來呆呆的。
例如：䀴佢精頭精面，哪會知嘛會做糊塗事。",看他一臉聰明，殊不知也會做糊塗事。,,形容詞,,9抽象概念與形容
9-128,精,zinˇ,"精明伶俐。
例如：佢新渡个新婦真精，手腳緊，想事情又周到。",他剛娶進門的媳婦很精明伶俐，手腳快，考慮事情又周到。,,名詞,,9抽象概念與形容
9-129,啾啾咈,ziu ziu bui^,"形容喧鬧吵雜的樣子。
例如：屋簷下有鳥仔做藪，鳥子歸日啾啾咈。",屋簷下有鳥築巢，小鳥整天喧鬧吵雜著。,,形容詞,,9抽象概念與形容
9-130,爪爪,rhiauˋ rhiauˋ,形容皺痕多。如「面爪爪」。,臉皺皺的。,,短語,,9抽象概念與形容
9-131,爪皮,rhiauˋ piˋ,"皮膚有皺紋。
例如：正三十歲，面即爪皮爪皮，䀴起來加真老。",才三十歲，臉就皺巴巴的，看起來老多了。,,虛詞,,9抽象概念與形容
9-132,此腔無此詞條,,,,,,,
9-133,揢手揢腳,ka shiu^ ka giooˊ,"手腳被束縛不自由、不順暢。
例如：討掘竹筍無恁快，用钁頭會揢手揢腳。",要挖竹筍不容易，使用鋤頭會束手束腳。,,形容詞,,9抽象概念與形容
9-134,交手交腳,gauˇ shiu^ gauˇ giooˊ,"形容人很清閒的樣子。
例如：佢拁頭路放落來尞，食飽飯就交手交腳，真爽快。",他把工作辭了休息，吃飽飯就抱胸翹腳，清閒得很。,,形容詞,,9抽象概念與形容
9-135,嶇,kiˇ,"陡峭。
例如：這崎真嶇，騎鐵馬毋好直接溜落去，真危險。",這坡很陡，騎自行車別直接溜下來，很危險。,,形容詞,,9抽象概念與形容
9-136,輕手輕腳,kiangˇ shiu^ kiangˇ giooˊ,"手腳動作輕巧，小心翼翼的以免發出聲響。
例如：歸班个人攏在睡當晝，你行路愛輕手輕腳，莫吵着人。",全班都在睡午覺，你走路可得手腳輕巧些，別吵到人。,,形容詞,,9抽象概念與形容
9-137,輕可事,kiangˇ koo^ she,"輕鬆事。
例如：麼个啊？連捧茶、捽桌這兜輕可事你都毋會曉做！",什麼啊？連端茶、擦桌椅這些輕鬆事你都做不來！,,形容詞,,9抽象概念與形容
9-138,臨臨,limˋ limˋ,"勉強達到，處於臨界點之狀態。
例如：這批貨个原料，算算啊臨臨猶罅，有少嘛毋會少真多。",這批貨的原料，算一算勉強還夠，有少也不會少很多。,,名詞,,9抽象概念與形容
9-139,足多漦濞,ziuˊ dooˇ siauˋ pinn,"煩人囉嗦事特別多。也可說「漦濞極多」。
例如：一下講討改這，一下講討修遐，足多漦濞！",一下說要改這，一下說要修那，煩人囉嗦事特別多！,,形容詞,,9抽象概念與形容
9-140,矻矻搉搉,kidˋ kidˋ kogˋ kogˋ ,"狀聲詞，形容敲打物品聲，時不時傳出的聲響。
例如：半夜毋睡，在遐矻矻搉搉做麼个？",半夜不睡覺，在那一直製造煩人的聲響做什麼？,,形容詞,,9抽象概念與形容
9-141,汔,keedˋ,"形容穀物熬煮到汁液濃稠。
例如：糜煮到醹擱汔，好食又食會飽。",粥煮得稠稠的又濃厚，好吃又吃得飽。,,形容詞,,9抽象概念與形容
9-142,翹翹,kioo^ kioo^,"翹起的樣子。
例如：這粒石頭一裡翹翹，蹬起去愛較細義兜，毋好跌倒。",這顆石頭一邊翹起來，踏上去要小心一點，別摔倒。,,形容詞,,9抽象概念與形容
9-143,巧神,kioo^ shinˋ,"聰慧，屬具特殊能力的聰明。
例如：佢真巧神，講着佢即知。",他很聰明，一說他就懂。,,形容詞,,9抽象概念與形容
9-144,虬虬,kiuˋ kiuˋ,"彎曲的；彈牙有嚼勁。
例如：這垤豬皮食起來虬虬，真好食。",這片豬皮吃起來彈牙有嚼勁，很好吃。,,形容詞,,9抽象概念與形容
9-145,共樣共樣,kung rhiong kung rhiong,"一模一樣。
例如：佢兩儕係雙降，難怪生做共樣共樣。",他們倆是雙胞胎，難怪長得一模一樣。,,形容詞,,9抽象概念與形容
9-146,孔竅,kung^ kioo^,"事物的要領與訣竅。
例如：學麼个攏愛用心䀴，捉着孔竅，即毋會難啊。",學什麼都要用心觀察，抓住訣竅，就不難了。,,形容詞,,9抽象概念與形容
9-147,空空缺缺,kungˇ kungˇ kiedˊ kiedˊ,"形容道路坑坑洞洞、凹凸不平的樣子。
例如：這條路耬自來水笐，舞到空空缺缺，你即愛細義兜。",這條路挖自來水管，弄得坑坑洞洞，你可要小心點。,,形容詞,,9抽象概念與形容
9-148,拉拉雜雜,labˋ labˋ cabˋ cabˋ,"東西混雜在一起，有加強語氣的作用。
例如：墩到歸間拉拉雜雜个物件，討尋一雙鞋都難。",堆了整間拉拉雜雜的東西，要找一雙鞋都難。,,形容詞,,9抽象概念與形容
9-149,爛擐,lan kuan,"衣物破爛，亦可說「爛爛擐擐」或「爛之爛擐」，即形容衣物破爛不堪。
例如：成下个布做衫褲真無耐著，散人長年透天著都爛擐爛擐。",以前的布做衣服很不耐穿，窮人經年都穿得破破爛爛的。,,副詞,,9抽象概念與形容
9-150,此腔無此詞條,,,,,,,
9-151,亮頭,liong teuˋ,"衣裝整潔、光鮮亮麗。
例如：佢做業務，滿哪位尋人客，所以逐日著到亮頭亮頭。",他擔任業務，到處找客戶，所以每天穿得衣裝整潔。,,名詞,,9抽象概念與形容
9-152,伶伶俐俐,lenˋ lenˋ li li,"乾乾淨淨，也可指乾淨俐落。
例如：阿明嫂真會捍家，屋下內內外外歸下整理到伶伶俐俐。",阿明嫂很會持家，家中裡裡外外全都整理得乾乾淨淨。,,形容詞,,9抽象概念與形容
9-153,零零星星,lenˋ lenˋ senˇ senˇ,"零零星星。
例如：大下个物件整理好來，伸个零零星星即先放蹛。",較大件的東西整理好，剩下零零星星的就不用整理了。,,形容詞,,9抽象概念與形容
9-154,落臍,lau^ ciˋ,"褲子沒穿好，引申為邋遢。
例如：有一兜人著衫真落臍，有一兜人真講究。",有些人穿衣服穿得很鬆垮邋遢，有些人很講究。,,形容詞,,9抽象概念與形容
9-155,溼潦潦,shibˊ lauˋ lauˋ,"溼透的樣子，多用於被雨淋溼。
例如：風雨恁大，就算擎傘猶係歸身涿到溼潦潦。",風雨太大，就算拿雨傘還是全身被雨淋溼。,,形容詞,,9抽象概念與形容
9-156,連峨接棟,lienˋ ngoˋ ziabˊ dung^,"房舍多而相連；亦可比喻事情接二連三。
例如：遐個新社區个樓屋起到連峨接棟，真鬧熱。
例如：阿清伯今年个運勢無幾好，大大細細个事情連峨接棟接个來，舞到佢頭那真疾。","那個新社區的房舍櫛比鱗次，相當熱鬧。
阿清伯今年的運勢不太好，大大小小的事情接二連三接踵而來，弄得他頭痛不已。 ",,形容詞,,9抽象概念與形容
9-157,此腔無此詞條,,,,,,,
9-158,老老,loo^ loo^,"形容老、不嫩，常用於植物。
例如：這菜頭過頭熟正挷，煮湯食起來老老，有絲啊。",這蘿蔔過熟才採拔，煮湯吃感覺老老的，纖維變粗了。,,形容詞,,9抽象概念與形容
9-159,潦草,loo^ coo^,"潦草。
例如：先生講佢：生來恁幼秀，無彩寫字恁潦草。",老師說他：長得很秀氣，可惜寫字很潦草。,,形容詞,,9抽象概念與形容
9-160,著綹,choo liu^,"掉入圈套、上當。
例如：詐騙集團真巧，真多人著綹。",詐騙集團很聰明，很多人上當。,,短語,,9抽象概念與形容
9-161,酪酪,loo loo,"爛熟。
例如：這鑊豬腳焄到酪酪，真誠好吃。",這鍋豬腳燉得爛熟，非常好吃。,,形容詞,,9抽象概念與形容
9-162,來來去去,loiˋ loiˋ kui^ kui^,"形容往來進出頻繁。
例如：臺北捷運个人逐日來來去去，即像泥空底个蟻子出出入入。",臺北捷運的人潮每天進出頻繁，就像泥穴裡的螞蟻進進出出。,,形容詞,,9抽象概念與形容
9-163,㪐㪐,ludˊ ludˊ,"形容鬆脫的樣子。
例如：遐枝钁頭柄㪐㪐，愛細義。",那支鋤頭柄鬆鬆的，要留心注意。,,形容詞,,9抽象概念與形容
9-164,毋堵好,mˋ du^ hoo^,"不小心、不慎。
例如：工人耬大路，毋堵好拁水笐耬斷去。",工人挖馬路，不慎將水管挖斷了。,,形容詞,,9抽象概念與形容
9-165,毋係時務,mˇ he shiˋ bbu,"不是時候，指時機不對。
例如：這下毋係時務，西瓜無幾好食。",現在不是產季，西瓜不怎麼好吃。,,形容詞,,9抽象概念與形容
9-166,毋成,mˋ shangˋ,"算不了什麼。
例如：這包茶米送你，毋成麼个禮數。",這包茶葉送你，不成什麼禮數。,,形容詞,,9抽象概念與形容
9-167,滅去,miedˋ/medˋ kui^,"滅絕、沒落。
例如：客事愛有人講，正毋會滅去。",客家話要有人說，才不會滅絕。,,形容詞,,9抽象概念與形容
9-168,慢慢趖,meen meen sooˋ,"動作慢吞吞的。
例如：你擱恁慢慢趖，等下會赴毋會着車枋。",你再這樣動作慢吞吞的，待會兒會趕不上車。,,動詞,,9抽象概念與形容
9-169,慢趖,meen sooˋ,"比喻做事慢吞吞的樣子。
例如：做事情莫恁慢趖，愛緊一兜。",做事情別那麼慢吞吞，要快一點。,,形容詞,,9抽象概念與形容
9-170,滿山滿坪,man^ sanˇ man^ piangˋ,"遍及整座山。
例如：這個所在成過有滿山滿坪野生个栗子樹。",這個地方從前有滿山的野栗樹。,,形容詞,,9抽象概念與形容
9-171,此腔無此詞條,,,,,,,
9-172,微細,bbiˋ se^,"細微。
例如：醫院分工真微細，有分做真多科。",醫院分工很細微，分很多科。,,形容詞,,9抽象概念與形容
9-173,命靚,miang ziangˇ,"命好。
例如：食肚枵猶愛擇食，正經命靚。",肚子餓還要挑食，真是好命。,,形容詞,,9抽象概念與形容
9-174,命䆀,miang bbaiˇ,命不好，例如「怨命䆀」。,抱怨命不好。,,形容詞,,9抽象概念與形容
9-175,面漚面臭,mien^ au^ mien^ chiu^,"形容極度不高興，擺出不好看的臉色。
例如：遐個後生子人得人毋會講，一下子就面漚面臭。",那個年輕人說他不得，一下子就擺起臭臉不高興。,,形容詞,,9抽象概念與形容
9-176,此腔無此詞條,,,,,,,
9-177,摸挲,miaˇ sooˇ,"東摸西摸，做事態度緩慢拖拖拉拉的樣子，另言「摸摸挲挲」。
例如：你恁摸挲，事頭幾久正做會好？",你這樣拖拖拉拉的，工作何時才做得完？,,形容詞,,9抽象概念與形容
9-178,毛絨絨,hmˇ rhungˋ rhungˋ,"毛髮綿密的樣子。
例如：雞么歸身毛絨絨，像一粒球，真得人惜。",小雞仔全身毛絨絨，像一粒球，真討人喜歡。,,動詞,,9抽象概念與形容
9-179,無恁快,moˋ ngin^ kuai^,"沒那麼容易。
例如：著獎券無恁快，運氣好个人正著會着。",中獎券沒那麼容易，運氣好的人才中得到。,,形容詞,,9抽象概念與形容
9-180,無採工,moˋ cai^ gungˇ,"枉費，白做的意思。
例如：拚死拚命做事趁个錢提去跌徼輸淨淨，正經係無採工。",拼死拼活工作賺的錢拿去賭博輸光光，真的是白做工。,,名詞,,9抽象概念與形容
9-181,無打無扮,moˋ da^ moˋ peen,"毫無打扮。
例如：䀴厥夫娘普通時無打無扮，今日按打扮起來，真靚哦。",看他老婆平常毫無打扮，今天這樣打扮起來，很漂亮喲。,,副詞,,9抽象概念與形容
9-182,無搭無碓,moˋ dabˊ moˋ doi^,"沒意思、沒趣味之意。
例如：你莫在這講遐無搭無碓个，鬥想辦法較要緊。",你別在這兒說那些沒意思的，幫忙想辦法比較重要。,,形容詞,,9抽象概念與形容
9-183,無稀罕,moˋ hiˇ han^,"普通、不足為奇；沒多大效果。
例如：這落菜鼻起來香馞馞，食起來無稀罕。",這道菜聞起來香噴噴的，吃起來沒什麼特別。,,形容詞,,9抽象概念與形容
9-184,無閒洎杈,moˋ heenˋ ci^ ca^,"形容忙得無法開交的狀態。
例如：偎年啊，家家屋屋愛拚掃、愛辦年貨，大家都無閒洎杈。",年關將至，家家戶戶要打掃、要辦年貨，大家都忙得不可開交。,,形容詞,,9抽象概念與形容
9-185,無好空,moˋ hoo^ kungˇ,"沒什麼好處。
例如：平常無來去，你這站恁輒來尋佢，定著無好空。",平常沒往來，你這陣子這麼常來找他，一定沒什麼好事。,,形容詞,,9抽象概念與形容
9-186,無味無素,moˋ bbi moˋ su^ ,"淡然無味。
例如：這食起來無味無素，餳佢毋會着啦！",這吃起來淡然無味，吸引不了他啦！,,形容詞,,9抽象概念與形容
9-187,無目水,moˋ hmˊ fi^,"沒眼光。
例如：無目水个人單顧目前个，毋知好向前發展。",沒眼光的人只顧眼前的，不懂得向前發展。,,動詞,,9抽象概念與形容
9-188,無位尋　,moˋ bbi cimˋ,"找不到、無處尋，多用於表難得之語境。
例如：恁好、恁惜丈夫个夫娘，無位尋，你即毋好擱嫌啊！",這麼好、這麼疼老公的老婆，無處尋，你可別再嫌了！,,形容詞,,9抽象概念與形容
9-189,無頭腦,moˋ teuˋ nau^,"罵人笨拙沒腦筋。
例如：無頭腦係無？恁簡單个事，你到今猶䀴毋會真。",沒腦袋是嗎？這麼簡單的事情，你到現在還看不清。,,形容詞,,9抽象概念與形容
9-190,無主無意,moˋ zhi^ moˋ rhi^,"對事物沒有確定的主張或見解；沒有表達意見的立場。
例如：佢做人做事真會擎順風旗，對所有个事情全部無主無意。",他做人處事總是跟著別人走，對所有的事情全部沒有什麼主見。,,形容詞,,9抽象概念與形容
9-191,此腔無此詞條,,,,,,,
9-192,無新無舊,moˋ sinˇ moˋ kiu,"不新不舊。
例如：這領衫个色䀴起來無新無舊，你仰子會佮意？",這件衣服的顏色看起來不新不舊，你怎會喜歡？,,形容詞,,9抽象概念與形容
9-193,目珠吊吊,mudˊ zhiˇ deeu^ deeu^,"眼珠向上翻。
例如：細子起豬嫲癲目珠吊吊，愛攔緊送去病院。",小孩子羊癲瘋發作眼睛往上吊，要趕快送醫院。,,形容詞,,9抽象概念與形容
9-194,目金金,hmˊ gimˇ gimˇ,"睜大眼睛想看清楚的樣子。
例如：銀樓个金條真餳人，大家䀴到目金金無想討走。",銀樓的金條很吸引人，大家看得眼睛發亮不想走。,,形容詞,,9抽象概念與形容
9-195,此腔無此詞條,,,,,,,
9-196,目弇弇（目揜揜）,hmˊ kem^ kem^ (hmˊ kebˊ kebˊ),"眼皮下垂欲睡的樣子。
例如：無睡當晝，目弇弇來開會，真失禮。",沒睡午覺，來開會時眼皮下垂張不開，很失禮。,,形容詞,,9抽象概念與形容
9-197,此腔無此詞條,,,,,,,
9-198,濛濛,mongˋ mongˋ,"模糊狀。
例如：落大雨，歸路濛濛，䀴毋會清楚頭前有幾多臺車來。",下大雨，整路視線模糊，看不清前面有幾臺車來。,,動詞,,9抽象概念與形容
9-199,此腔無此詞條,,,,,,,
9-200,耐命,nai miang,"生命力很堅韌。
例如：出恁大个車禍佢攏無事，人講佢實在耐命。",出這麼大的車禍他都沒事，人人都說他實在命大。,,形容詞,,9抽象概念與形容
9-201,耐䀴,nai ngiang^,"可以長時間觀賞，不會被嫌惡。「耐供」則表可以養得很久。
例如：這女主角雖然講毋係真靚，毋過真耐䀴。",這女主角雖然說不是很漂亮，不過很耐看。,,形容詞,,9抽象概念與形容
9-202,難講,nanˋ gong^ ,"難說、不確定之意。
例如：阿叔講會轉來過年，圍爐啊猶無䀴着人，𠊎䀴即難講啊哦。",叔叔說會回家過年，圍爐了還見不到人影，我看是不確定了。,,形容詞,,9抽象概念與形容
9-203,鬧熱滾滾,nau ngiedˋ gun^ gun^,"形容非常熱鬧。
例如：操場今日鬧熱滾滾，幾時係借人辦運動會。",操場上今天非常熱鬧，原來是借給外人辦運動會。,,形容詞,,9抽象概念與形容
9-204,淰黃,neemˇ bbongˋ,"形容色彩黃澄澄地。
例如：園內底个柑子淰黃淰黃，好捋啊！",園裡的橘子黃澄澄的，可以摘了！,,形容詞,,9抽象概念與形容
9-205,五五十十,m^ m^ shibˋ shibˋ,"支吾其詞；心猿意馬。
例如：阿依䀴着阿通講事五五十十講毋得出，即知佢定著又做毋著事啊。",母親看到阿通講話支吾其詞說不出口，就知道他一定又做錯事了。,,形容詞,,9抽象概念與形容
9-206,硬健硬健,ngang kien ngang kien,"質地硬硬的。
例如：這品種个番薯，食起來硬健硬健，煮番薯湯較好食。",這品種的番薯，吃起來質地硬硬的，煮番薯湯比較好吃。,,形容詞,,9抽象概念與形容
9-207,耳卻卻,ngi^ kia kia,"耳朵高豎，認真聽的樣子。
例如：阿公在廳下講古，孫耳卻卻聽。",爺爺在客廳講古，孫子豎起耳朵聽。,,形容詞,,9抽象概念與形容
9-208,眼擘擘,ngien^ baˊ baˊ,"眼巴巴看著，眼神帶有失望的樣子。
例如：慢來，無通食，眼擘擘䀴人食。",慢來，沒得吃，眼巴巴的看人吃。,,形容詞,,9抽象概念與形容
9-209,此腔無此詞條,,,,,,,
9-210,目珠爆爆,mudˊ zhiˇ pogˋ pogˋ,"瞪眼注視的樣子，有想打架的眼神。
例如：佢生來真惡相，見䀴人就目珠爆爆，毋過佢人真好。",他長得很凶惡，每次看到人就瞪眼注目，不過他人很好。,,形容詞,,9抽象概念與形容
9-211,此腔無此詞條,,,,,,,
9-212,眼視視,ngien^ shi shi,"兩眼直視的樣子。
例如：佢眼視視直直䀴，毋知變麼个鬼。",他兩眼直視一直看，不知道搞什麼鬼。,,形容詞,,9抽象概念與形容
9-213,目垂垂,hmˊ sueˋ sueˋ,"眼簾低垂，無神的樣子。
例如：這兩三日攔報告攏無睡，目垂垂，目珠擘毋會開。",這兩三天趕報告都沒睡，眼簾低垂，眼睛都張不開。,,形容詞,,9抽象概念與形容
9-214,人山人海,nginˋ sanˇ nginˋ hoi^,"人山人海，形容有非常多的人聚集在一起的樣子。
例如：成過廟坪做十月戲，戲棚下輒輒人山人海，想討尋一個較冗个位都無。",從前廟前廣場演平安戲，戲臺下常常人山人海，想要找一處比較寬鬆的位子都沒有。,,形容詞,,9抽象概念與形容
9-215,弱弱,ngio ngio,"身體孱弱。
例如：阿伯正出院，身體猶弱弱，毋好去做重事。",伯父剛出院，身體還很孱弱，別去做粗重的工作。,,形容詞,,9抽象概念與形容
9-216,軟濟濟,ngienˇ zobˋ zobˋ,"形容軟軟的，多形容物品柔軟，例如抱枕布偶等。
例如：遐張膨椅軟濟濟，坐起來真快活。",那張沙發軟軟的，坐起來很舒服。,,形容詞,,9抽象概念與形容
9-217,軟習習,ngienˇ sibˋ sibˋ,"物品軟綿綿的。
例如：糯米粢舂到軟習習，真好食。",麻糬製作得軟綿綿的，很好吃。,,形容詞,,9抽象概念與形容
9-218,細聲軟音,se^ shangˇ ngienˇ rhimˇ,"形容人說話輕聲細語，語帶溫柔。
例如：遐個妹子講事細聲軟音，罵人都毋會大聲。",那個女孩說話輕聲細語，罵人都不會大聲。,,形容詞,,9抽象概念與形容
9-219,戇面,ngongˇ mien^,"長相傻傻的樣子，亦可說「戇面戇面」。
例如：人不可貌相，䀴佢戇面戇面，麼儕知佢係一間大公司个董事長。",人不可貌相，看他的長相傻傻的，誰知道他可是一間大公司的董事長。,,形容詞,,9抽象概念與形容
9-220,嫩相,nun siong^,"看起來比實際年齡年輕。
例如：佢生做真嫩相，其實佢四十空歲啊。",他看起來比實際年齡年輕很多，其實他四十多歲了。,,形容詞,,9抽象概念與形容
9-221,野赤赤,rhia^ chaˊ chaˊ,"形容臉部很凶惡的樣子。
例如：這隻狗野赤赤，大家都驚得佢咬着。",這狗很凶惡的樣子，大家都怕被牠咬到。,,形容詞,,9抽象概念與形容
9-222,白直,pa chidˋ,"言語、個性率直。
例如：佢真白直，想着麼个即講麼个。",他很率直，想到什麼就說什麼。,,動詞,形容詞,9抽象概念與形容
9-223,白罕白罕,pa hamˇ pa hamˇ,"淡淡的白色。
例如：鰻个食肚脣白罕白罕，黃鱔个食肚脣黃黃，無共樣。",鰻魚的下腹部有淡淡的白色，黃鱔的下腹部黃黃的，不一樣。,,形容詞,,9抽象概念與形容
9-224,白淨,pa ciang,"形容皮膚潔白乾淨，指直接全面性的白。
例如：阿嫂生做白淨，真得人惜。",嫂嫂長得很白皙乾淨，很有人緣。,,形容詞,動詞,9抽象概念與形容
9-225,白雪雪,pa siedˊ siedˊ,形容像雪般乾淨潔白的樣子。例如「天崠个雲白雪雪」、「油桐花白雪雪」。,"天上的雲潔白如雪。
油桐花潔白如雪。",,動詞,,9抽象概念與形容
9-226,排場,peˋ chongˋ,"鋪張，場面熱鬧。
例如：阿哥結婚个時辦到真排場。",哥哥結婚時場面辦得很盛大。,,動詞,,9抽象概念與形容
9-227,胖大,pangˆ tai,"肥肥胖胖的樣子，專指小孩。
例如：遐個嬰仔生到真胖大，真得人惜。",那個嬰兒長得胖嘟嘟的，很可愛。,,形容詞,,9抽象概念與形容
9-228,濞流流,pinn lauˋ lauˋ,"鼻涕流不停的樣子，用來形容人。
例如：自細䀴佢就濞流流，大漢變恁靚。",從小看她就是鼻涕掛在臉上，長大了變得那麼漂亮。,,形容詞,,9抽象概念與形容
9-229,肥肥,puiˋ puiˋ,"形容人外型肥胖的樣子；肉很肥。
例如：佢个面肥肥圓圓，真得人惜。
例如：老儕人真愛食肥肥个爌肉。","他的臉肥肥圓圓的，很可愛。
老人家很喜歡吃很肥的紅燒肉。",,形容詞,,9抽象概念與形容
9-230,肥卒卒,puiˋ zudˊ zudˊ,"形容人或動物肥胖的樣子；肉類太肥膩。
例如：人害人肥卒卒，天害人一支骨。（諺）
例如：細子逐個供到肥卒卒。
例如：這盤豬肉肥卒卒，細子毋敢食。","人害人肥嘟嘟，天害人一把骨。
小孩子個個養得胖嘟嘟的。
這盤豬肉太肥膩，小孩子不敢吃。",,名詞,,9抽象概念與形容
9-231,平高平大,piangˋ gooˇ piangˋ tai,"一樣高大。
例如：遐兩兄弟生做平高平大。",那兩兄弟長得一樣高大,,形容詞,,9抽象概念與形容
9-232,平平,piangˋ piangˋ,"一樣，引申為一視同仁的意思。
例如：平平係你降个，仰子差到恁多？",一樣是你生的，怎麼差那麼多？,,形容詞,,9抽象概念與形容
9-233,平平共樣,piangˋ piangˋ kung rhiong,"兩者一樣。
例如：平平共樣攏係共爺哀降个，兩兄弟個性爭差恁多。",一樣都是同父母所生的，兩兄弟個性相差那麼多。,,形容詞,,9抽象概念與形容
9-234,平洋,piangˋ rhiongˋ,"寬闊平坦的樣子。
例如：對嘉義到臺南一帶，係一大片平洋个田。",從嘉義到臺南一帶，是一大片寬闊平坦的農田。,,形容詞,,9抽象概念與形容
9-235,薄薄,poo poo,"薄薄的。
例如：外頭有小可涼涼，愛加著一領薄薄个衫。
例如：豬肉切薄薄，燙一下就會使食。","外面有些涼，要多穿一件薄薄的衣服。
豬肉切薄薄的，燙一下就可以吃。",,形容詞,,9抽象概念與形容
9-236,噴香,pun^ hiongˇ,"香噴噴，形容香氣四溢且濃郁。
例如：逐件菜都煮到噴香，真餳人食。",每樣菜都煮得香氣四溢的，很誘惑人吃。,,形容詞,,9抽象概念與形容
9-237,豐白,pungˇ pa,"形容很大面積的白色連成一片，非常白的樣子。
例如：油桐花開，滿山一片豐白。",油桐花開，滿山坡一片雪白。,,形容詞,,9抽象概念與形容
9-238,萋萋,cinnˇ cinnˇ,"新鮮，常指尚未料理的食材，如魚、肉等。
例如：買着萋萋个魚，即愛攔緊趁萋料理，正毋會過澇。",買了新鮮的魚，就要趕快趁新鮮料理，才不致失去鮮度。,,形容詞,,9抽象概念與形容
9-239,萋頭,cinnˇ teuˋ ,"光鮮亮麗的樣子。
例如：阿坤今日渡夫娘，著到真萋頭。",阿坤今天娶媳婦，穿得很光鮮亮麗。,,形容詞,,9抽象概念與形容
9-240,青溜溜,ciangˇ liuˇ liuˇ,"形容植物翠綠到發亮的樣子。
例如：䀴着路脣个禾青溜溜，心肝即真快活。",看到路旁的稻子綠油油的，心情豁然開朗。,,形容詞,,9抽象概念與形容
9-241,千難萬難,cienˇ nanˋ bban nanˋ,"形容十分困難或非常不容易。
例如：斷一個朋友一下半下，交一個朋友千難萬難。",斷一個朋友三兩下，交一個朋友千難萬難。,,形容詞,,9抽象概念與形容
9-242,豺牯（豺嫲）,saiˋ gu^ (saiˋ maˋ),"像豺狼一般貪吃的人。
例如：吂好食个桔柑即捋來食，實在係豺牯。",還不能吃的橘子就摘來吃，真是貪吃鬼。,,形容詞,,9抽象概念與形容
9-243,三長兩短,samˇ chongˋ liong^ don^,"三長兩短，發生不幸的事。
例如：拁人渡細子愛真細義，毋堵好有麼个三長兩短，遐即慘啊。",幫別人照顧小孩要很仔細，萬一有個三長兩短，那就麻煩了。,,形容詞,,9抽象概念與形容
9-244,儉死死,kiamˇ si^ si^,"形容極為節儉。
例如：兩公姐儉死死得後生讀書，後生走到外國嗄毋轉啊。",夫妻倆極為節儉供給兒子念書，兒子跑到外國卻不回來了。,,形容詞,,9抽象概念與形容
